Date,Time,Soil Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Irrigation Amount (liters),Crop Type,Irrigation Status
2025-01-01,000:00,32,22.156210856545844,89,25.418667718850834,69,Wheat,0
2025-01-01,001:00,96,20.235403213618376,74,2.8522130813431357,1,paddy,0
2025-01-01,002:00,78,29.148873804971903,47,11.401338164788532,13,Corn,0
2025-01-01,003:00,95,32.20882008136635,86,5.289684652074395,14,Corn,0
2025-01-01,004:00,44,27.463004866967488,55,22.645245624870427,5,paddy,0
2025-01-01,005:00,2,33.10841109146248,62,5.575994123210464,44,paddy,1
2025-01-01,006:00,79,35.986541133612505,80,23.261237111677044,98,Corn,0
2025-01-01,007:00,42,28.774089009357866,51,28.57634162327043,55,Corn,0
2025-01-01,008:00,67,19.806024475156093,76,28.346879523590584,33,paddy,0
2025-01-01,009:00,40,33.0186233545225,92,25.506472652935653,23,Tomato,0
2025-01-01,010:00,12,27.0618835989789,31,0.6429233934760248,19,paddy,1
2025-01-01,011:00,5,17.95894051957694,74,3.1185841076832146,10,Wheat,1
2025-01-01,012:00,80,28.489126295444485,64,17.77532797495631,79,Wheat,0
2025-01-01,013:00,84,16.89068125844375,67,11.051172073068866,2,Tomato,0
2025-01-01,014:00,50,19.532370935242156,58,20.58879822965614,9,Corn,0
2025-01-01,015:00,43,26.443258309973746,72,18.27885827886735,75,Tomato,0
2025-01-01,016:00,55,23.578608465331122,82,10.876038229970463,81,paddy,0
2025-01-01,017:00,66,24.540307033909045,42,0.4556800071506384,74,Wheat,0
2025-01-01,018:00,29,24.898464937517176,48,29.665218956131326,0,paddy,1
2025-01-01,019:00,69,27.307895993093197,74,9.298394709831685,68,Corn,0
2025-01-01,020:00,94,17.535012738771012,70,27.83826405528966,83,Wheat,0
2025-01-01,021:00,45,30.26519207157009,87,9.754278775619271,7,Corn,0
2025-01-01,022:00,62,20.109143888241963,57,3.4793033152068675,86,Corn,0
2025-01-01,023:00,17,15.286609716856697,34,15.498987315225698,61,Wheat,1
2025-01-02,000:00,38,25.213752416899933,90,4.87156502819751,71,Wheat,0
2025-01-02,001:00,80,27.949950909912115,45,21.946409729566117,66,Corn,0
2025-01-02,002:00,27,20.690422846837762,32,0.6280935188549075,16,Corn,1
